original_name,original_format,original_w,original_h,saved_name,saved_w,saved_h,extreme_dimension
n19.png,PNG,584,881,n19.jpg,584,881,False
n20.png,PNG,578,877,n20.jpg,578,877,False
n21.png,PNG,580,886,n21.jpg,580,886,False
n22.jpg,JPEG,4000,3000,n22.jpg,3000,4000,False
n23.png,PNG,1680,855,n23.jpg,1680,855,False
n24.png,PNG,1749,880,n24.jpg,1749,880,False
n5.png,PNG,579,888,n5.jpg,579,888,False
n6.png,PNG,581,889,n6.jpg,581,889,False
n7.png,PNG,587,886,n7.jpg,587,886,False
n8.png,PNG,576,880,n8.jpg,576,880,False
n9.png,PNG,581,884,n9.jpg,581,884,False
n_1.png,PNG,1597,862,n_1.jpg,1597,862,False
n_2.png,PNG,1540,828,n_2.jpg,1540,828,False
n_3.png,PNG,1520,892,n_3.jpg,1520,892,False
n_4.png,PNG,1696,873,n_4.jpg,1696,873,False
Selected photo (10).jpeg,JPEG,4032,3024,Selected photo (10).jpg,4032,3024,False
Selected photo (11).jpeg,JPEG,4032,3024,Selected photo (11).jpg,4032,3024,False
Selected photo (2).jpeg,JPEG,4032,3024,Selected photo (2).jpg,4032,3024,False
Selected photo (3).jpeg,JPEG,4032,3024,Selected photo (3).jpg,3024,4032,False
Selected photo (4).jpeg,JPEG,4032,3024,Selected photo (4).jpg,4032,3024,False
Selected photo (5).jpeg,JPEG,4032,3024,Selected photo (5).jpg,4032,3024,False
Selected photo (6).jpeg,JPEG,4032,3024,Selected photo (6).jpg,4032,3024,False
Selected photo (7).jpeg,JPEG,4032,3024,Selected photo (7).jpg,4032,3024,False
Selected photo (8).jpeg,JPEG,4032,3024,Selected photo (8).jpg,4032,3024,False
Selected photo (9).jpeg,JPEG,4032,3024,Selected photo (9).jpg,4032,3024,False
